Name;IdName;FolderName;Type;ViewMode;RWin;DataOrg;bReciprocal;bSigned;bDelta;bPercent;bOriginal;bOriginalValues;Columns;Rows;Radix;Comment;Precision;SkipBytes;LineSkipBytes;Fieldvalues.Name;Fieldvalues.Unit;Fieldvalues.Factor;Fieldvalues.Offset;Fieldvalues.StartAddr;AxisX.Name;AxisX.IdName;AxisX.Unit;AxisX.Factor;AxisX.Offset;AxisX.Radix;AxisX.bBackwards;AxisX.bReciprocal;AxisX.bSigned;AxisX.Precision;AxisX.DataSrc;AxisX.DataHeader;AxisX.DataAddr;AxisX.DataOrg;AxisX.SignatureByte;AxisX.SkipBytes;AxisY.Name;AxisY.IdName;AxisY.Unit;AxisY.Factor;AxisY.Offset;AxisY.Radix;AxisY.bBackwards;AxisY.bReciprocal;AxisY.bSigned;AxisY.Precision;AxisY.DataSrc;AxisY.DataHeader;AxisY.DataAddr;AxisY.DataOrg;AxisY.SignatureByte;AxisY.SkipBytes
Application_Executable_Code_Checksum_2;000076fc;Software and System General Parameters\;eEinzel;eViewText;eBars;eHiLoHiLo;0;0;0;0;0;0;1;1;10;;0;0;0;Calculates a simple checksum of the code that lies between Start_App_Code_Checksum_Range_2 and End_App_Code_Checksum_Range_2.  This value is stored in fixed memory so that bootloader can calculate it upon download completion and it can be used for diagnostic purposes in a functioning application.;HEX;1;0;$5D824;-;;-;1;0;16;1;0;0;-1;eDataSrcNone;0;$0;eByte;0x-1;0;-;;-;1;0;16;1;0;0;-1;eDataSrcNone;0;$0;eByte;0x-1;0
BTM_BTBoundary_Offset;0001185e;Battery Temperature Model API\;eEinzel;eViewText;eBars;eHiLo;0;1;0;0;0;0;1;1;10;;2;0;0;Normalized battery temperature boundary offset. Estimated battery Battery_Temp is clipped to within limits.;None;0.000030517578;0;$275CB2;-;;-;1;0;16;1;0;0;-1;eDataSrcNone;0;$0;eByte;0x-1;0;-;;-;1;0;16;1;0;0;-1;eDataSrcNone;0;$0;eByte;0x-1;0
BTM_Config_Register;00017ea1;Battery Temperature Model API\;eEinzel;eViewText;eBars;eByte;0;0;0;0;0;0;1;1;10;;0;0;0;BTM configuration register<br><br>Bit 0: Battery Temp Model Enable<br>Bit 1: BTM block heater equipped compensation<br>Bit 2: BTM ambient temperature input selection<br>Bit 3: BTM block heater self adjustment selection<br><br>BTM_MODEL_ENABLE<br>BTM_BLOCK_HTR_COMPENSATION_ENBL<br>BTM_ENGON_AMB_SELECTION<br>BTM_BH_SELFADJ_ENABLE;HEX;1;0;$275CB0;-;;-;1;0;16;1;0;0;-1;eDataSrcNone;0;$0;eByte;0x-1;0;-;;-;1;0;16;1;0;0;-1;eDataSrcNone;0;$0;eByte;0x-1;0
BTM_EngOff_Coef_AvgAmb_Ratio;00017e80;Battery Temperature Model API\;eEinzel;eViewText;eBars;eHiLo;0;1;0;0;0;0;1;1;10;;2;0;0;Multiplier for calculating average ambient temperature.;None;0.000030517578;0;$275CF2;-;;-;1;0;16;1;0;0;-1;eDataSrcNone;0;$0;eByte;0x-1;0;-;;-;1;0;16;1;0;0;-1;eDataSrcNone;0;$0;eByte;0x-1;0
BTM_EngOff_Coef_EngOffTmrThr;00017e83;Battery Temperature Model API\;eEinzel;eViewText;eBars;eHiLo;0;0;0;0;0;0;1;1;10;;0;0;0;Engine off time threshold for starting to estimate initial battery temperature value.;counts;1;0;$275CDE;-;;-;1;0;16;1;0;0;-1;eDataSrcNone;0;$0;eByte;0x-1;0;-;;-;1;0;16;1;0;0;-1;eDataSrcNone;0;$0;eByte;0x-1;0
BTM_EngOff_Coef_EngOffTmr_End;00017e81;Battery Temperature Model API\;eEinzel;eViewText;eBars;eHiLo;0;0;0;0;0;0;1;1;10;;0;0;0;Engine off time threshold for starting to use air temperature for initial battery temperature value calculation.;counts;1;0;$275CE2;-;;-;1;0;16;1;0;0;-1;eDataSrcNone;0;$0;eByte;0x-1;0;-;;-;1;0;16;1;0;0;-1;eDataSrcNone;0;$0;eByte;0x-1;0
BTM_EngOff_Coef_EngOffTmr_Mid;00017e82;Battery Temperature Model API\;eEinzel;eViewText;eBars;eHiLo;0;0;0;0;0;0;1;1;10;;0;0;0;Engine off time threshold for starting to estimate initial battery temperature value using air temperature.;counts;1;0;$275CE0;-;;-;1;0;16;1;0;0;-1;eDataSrcNone;0;$0;eByte;0x-1;0;-;;-;1;0;16;1;0;0;-1;eDataSrcNone;0;$0;eByte;0x-1;0
BTM_EngOff_Coef_FCh0;00017e84;Battery Temperature Model API\;eEinzel;eViewText;eBars;eHiLo;0;1;0;0;0;0;1;1;10;;2;0;0;coefficient of the engine-off model used for initial value calculation;None;0.000030517578;0;$275CC6;-;;-;1;0;16;1;0;0;-1;eDataSrcNone;0;$0;eByte;0x-1;0;-;;-;1;0;16;1;0;0;-1;eDataSrcNone;0;$0;eByte;0x-1;0
BTM_EngOff_Coef_FCh1;00017e85;Battery Temperature Model API\;eEinzel;eViewText;eBars;eHiLo;0;1;0;0;0;0;1;1;10;;2;0;0;coefficient of the engine-off model used for initial value calculation;None;0.000030517578;0;$275CC8;-;;-;1;0;16;1;0;0;-1;eDataSrcNone;0;$0;eByte;0x-1;0;-;;-;1;0;16;1;0;0;-1;eDataSrcNone;0;$0;eByte;0x-1;0
BTM_EngOff_Coef_FK0;00017e86;Battery Temperature Model API\;eEinzel;eViewText;eBars;eHiLo;0;1;0;0;0;0;1;1;10;;2;0;0;coefficient of the engine-off model used for initial value calculation;None;0.000030517578;0;$275CCA;-;;-;1;0;16;1;0;0;-1;eDataSrcNone;0;$0;eByte;0x-1;0;-;;-;1;0;16;1;0;0;-1;eDataSrcNone;0;$0;eByte;0x-1;0
BTM_EngOff_Coef_FK0bh;00017e87;Battery Temperature Model API\;eEinzel;eViewText;eBars;eHiLo;0;1;0;0;0;0;1;1;10;;2;0;0;coefficient of the engine-off model used for initial value calculation;None;0.000030517578;0;$275CCC;-;;-;1;0;16;1;0;0;-1;eDataSrcNone;0;$0;eByte;0x-1;0;-;;-;1;0;16;1;0;0;-1;eDataSrcNone;0;$0;eByte;0x-1;0
BTM_EngOff_Coef_FK1bh;00017ea4;Battery Temperature Model API\;eEinzel;eViewText;eBars;eHiLo;0;1;0;0;0;0;1;1;10;;2;0;0;coefficient of the engine-off model used for initial value calculation;None;0.000030517578;0;$275CCE;-;;-;1;0;16;1;0;0;-1;eDataSrcNone;0;$0;eByte;0x-1;0;-;;-;1;0;16;1;0;0;-1;eDataSrcNone;0;$0;eByte;0x-1;0
BTM_EngOff_Coef_FKb;00017e88;Battery Temperature Model API\;eEinzel;eViewText;eBars;eHiLo;0;1;0;0;0;0;1;1;10;;2;0;0;coefficient of the engine-off model used for initial value calculation;None;0.000030517578;0;$275CD0;-;;-;1;0;16;1;0;0;-1;eDataSrcNone;0;$0;eByte;0x-1;0;-;;-;1;0;16;1;0;0;-1;eDataSrcNone;0;$0;eByte;0x-1;0
BTM_EngOff_Coef_FKc;00017e89;Battery Temperature Model API\;eEinzel;eViewText;eBars;eHiLo;0;1;0;0;0;0;1;1;10;;2;0;0;coefficient of the engine-off model used for initial value calculation;None;0.000030517578;0;$275CD2;-;;-;1;0;16;1;0;0;-1;eDataSrcNone;0;$0;eByte;0x-1;0;-;;-;1;0;16;1;0;0;-1;eDataSrcNone;0;$0;eByte;0x-1;0
BTM_EngOff_Coef_FTh;00017e8a;Battery Temperature Model API\;eEinzel;eViewText;eBars;eHiLo;0;1;0;0;0;0;1;1;10;;2;0;0;coefficient of the engine-off model used for initial value calculation;None;0.000030517578;0;$275CD4;-;;-;1;0;16;1;0;0;-1;eDataSrcNone;0;$0;eByte;0x-1;0;-;;-;1;0;16;1;0;0;-1;eDataSrcNone;0;$0;eByte;0x-1;0
BTM_EngOff_Coef_ICh;00017e8b;Battery Temperature Model API\;eEinzel;eViewText;eBars;eHiLo;0;1;0;0;0;0;1;1;10;;0;0;0;Coefficient used in the initial value calculation of the model.;counts;1;0;$275CEA;-;;-;1;0;16;1;0;0;-1;eDataSrcNone;0;$0;eByte;0x-1;0;-;;-;1;0;16;1;0;0;-1;eDataSrcNone;0;$0;eByte;0x-1;0
BTM_EngOff_Coef_IK0;00017e8c;Battery Temperature Model API\;eEinzel;eViewText;eBars;eHiLo;0;1;0;0;0;0;1;1;10;;0;0;0;Coefficient used in the initial value calculation of the model.;counts;1;0;$275CEE;-;;-;1;0;16;1;0;0;-1;eDataSrcNone;0;$0;eByte;0x-1;0;-;;-;1;0;16;1;0;0;-1;eDataSrcNone;0;$0;eByte;0x-1;0
BTM_EngOff_Coef_IKb;00017e8d;Battery Temperature Model API\;eEinzel;eViewText;eBars;eHiLo;0;1;0;0;0;0;1;1;10;;0;0;0;coefficient of the engine-off model used for initial value calculation;None;1;0;$275CD6;-;;-;1;0;16;1;0;0;-1;eDataSrcNone;0;$0;eByte;0x-1;0;-;;-;1;0;16;1;0;0;-1;eDataSrcNone;0;$0;eByte;0x-1;0
BTM_EngOff_Coef_IKbh;00017e8e;Battery Temperature Model API\;eEinzel;eViewText;eBars;eHiLo;0;1;0;0;0;0;1;1;10;;0;0;0;Coefficient used in the initial value calculation of the model.;counts;1;0;$275CEC;-;;-;1;0;16;1;0;0;-1;eDataSrcNone;0;$0;eByte;0x-1;0;-;;-;1;0;16;1;0;0;-1;eDataSrcNone;0;$0;eByte;0x-1;0
BTM_EngOff_Coef_IKc;00017e8f;Battery Temperature Model API\;eEinzel;eViewText;eBars;eHiLo;0;1;0;0;0;0;1;1;10;;0;0;0;coefficient of the engine-off model used for initial value calculation;None;1;0;$275CD8;-;;-;1;0;16;1;0;0;-1;eDataSrcNone;0;$0;eByte;0x-1;0;-;;-;1;0;16;1;0;0;-1;eDataSrcNone;0;$0;eByte;0x-1;0
BTM_EngOff_Coef_ITh;00017e90;Battery Temperature Model API\;eEinzel;eViewText;eBars;eHiLo;0;1;0;0;0;0;1;1;10;;0;0;0;Coefficient used in the initial value calculation of the model.;counts;1;0;$275CF0;-;;-;1;0;16;1;0;0;-1;eDataSrcNone;0;$0;eByte;0x-1;0;-;;-;1;0;16;1;0;0;-1;eDataSrcNone;0;$0;eByte;0x-1;0
BTM_EngOff_Coef_TaBhThr;00017e91;Battery Temperature Model API\;eEinzel;eViewText;eBars;eHiLo;0;1;0;0;0;0;1;1;10;;2;0;0;Threshold of ambient temperature for block heater detection;None;0.000030517578;0;$275CDA;-;;-;1;0;16;1;0;0;-1;eDataSrcNone;0;$0;eByte;0x-1;0;-;;-;1;0;16;1;0;0;-1;eDataSrcNone;0;$0;eByte;0x-1;0
BTM_EngOff_Coef_TiGShift;00017e94;Battery Temperature Model API\;eEinzel;eViewText;eBars;eHiLo;0;1;0;0;0;0;1;1;10;;0;0;0;The shift number for estimating initial battery temperature value using air temperature.;counts;1;0;$275CE8;-;;-;1;0;16;1;0;0;-1;eDataSrcNone;0;$0;eByte;0x-1;0;-;;-;1;0;16;1;0;0;-1;eDataSrcNone;0;$0;eByte;0x-1;0
BTM_EngOff_Coef_TiGain;00017e92;Battery Temperature Model API\;eEinzel;eViewText;eBars;eHiLo;0;1;0;0;0;0;1;1;10;;2;0;0;Gain factor for estimating initial battery temperature value using air temperature.;None;0.000030517578;0;$275CE6;-;;-;1;0;16;1;0;0;-1;eDataSrcNone;0;$0;eByte;0x-1;0;-;;-;1;0;16;1;0;0;-1;eDataSrcNone;0;$0;eByte;0x-1;0
BTM_EngOff_Coef_TiGainbh;00017e93;Battery Temperature Model API\;eEinzel;eViewText;eBars;eHiLo;0;1;0;0;0;0;1;1;10;;2;0;0;Gain factor for estimating initial battery temperature value using air temperature with block heater present.;None;0.000030517578;0;$275CE4;-;;-;1;0;16;1;0;0;-1;eDataSrcNone;0;$0;eByte;0x-1;0;-;;-;1;0;16;1;0;0;-1;eDataSrcNone;0;$0;eByte;0x-1;0
BTM_EngOff_Coef_TmrLimt;00017e95;Battery Temperature Model API\;eEinzel;eViewText;eBars;eHiLo;0;0;0;0;0;0;1;1;10;;0;0;0;Engine shut down time threshold.;counts;1;0;$275CF4;-;;-;1;0;16;1;0;0;-1;eDataSrcNone;0;$0;eByte;0x-1;0;-;;-;1;0;16;1;0;0;-1;eDataSrcNone;0;$0;eByte;0x-1;0
BTM_EngOff_Coef_TmrThr;00017e96;Battery Temperature Model API\;eEinzel;eViewText;eBars;eHiLo;0;0;0;0;0;0;1;1;10;;0;0;0;Threshold of engine-off time for block heater detection;counts;1;0;$275CDC;-;;-;1;0;16;1;0;0;-1;eDataSrcNone;0;$0;eByte;0x-1;0;-;;-;1;0;16;1;0;0;-1;eDataSrcNone;0;$0;eByte;0x-1;0
BTM_EngOn_Coef_A0;00017e97;Battery Temperature Model API\;eEinzel;eViewText;eBars;eHiLo;0;1;0;0;0;0;1;1;10;;2;0;0;coefficient of the engine-on model used for battery temperature updating;None;0.000030517578;0;$275CB4;-;;-;1;0;16;1;0;0;-1;eDataSrcNone;0;$0;eByte;0x-1;0;-;;-;1;0;16;1;0;0;-1;eDataSrcNone;0;$0;eByte;0x-1;0
BTM_EngOn_Coef_A1;00017e99;Battery Temperature Model API\;eEinzel;eViewText;eBars;eHiLo;0;1;0;0;0;0;1;1;10;;2;0;0;coefficient of the engine-on model used for battery temperature updating;None;0.000030517578;0;$275CB6;-;;-;1;0;16;1;0;0;-1;eDataSrcNone;0;$0;eByte;0x-1;0;-;;-;1;0;16;1;0;0;-1;eDataSrcNone;0;$0;eByte;0x-1;0
BTM_EngOn_Coef_A2;00017e9a;Battery Temperature Model API\;eEinzel;eViewText;eBars;eHiLo;0;1;0;0;0;0;1;1;10;;2;0;0;coefficient of the engine-on model used for battery temperature updating;None;0.000030517578;0;$275CB8;-;;-;1;0;16;1;0;0;-1;eDataSrcNone;0;$0;eByte;0x-1;0;-;;-;1;0;16;1;0;0;-1;eDataSrcNone;0;$0;eByte;0x-1;0
BTM_EngOn_Coef_A3;00017e9b;Battery Temperature Model API\;eEinzel;eViewText;eBars;eHiLo;0;1;0;0;0;0;1;1;10;;2;0;0;coefficient of the engine-on model used for battery temperature updating;None;0.000030517578;0;$275CBA;-;;-;1;0;16;1;0;0;-1;eDataSrcNone;0;$0;eByte;0x-1;0;-;;-;1;0;16;1;0;0;-1;eDataSrcNone;0;$0;eByte;0x-1;0
BTM_EngOn_Coef_A4;00017e9c;Battery Temperature Model API\;eEinzel;eViewText;eBars;eHiLo;0;1;0;0;0;0;1;1;10;;2;0;0;coefficient of the engine-on model used for battery temperature updating;None;0.000030517578;0;$275CBC;-;;-;1;0;16;1;0;0;-1;eDataSrcNone;0;$0;eByte;0x-1;0;-;;-;1;0;16;1;0;0;-1;eDataSrcNone;0;$0;eByte;0x-1;0
BTM_EngOn_Coef_B0;00017e9d;Battery Temperature Model API\;eEinzel;eViewText;eBars;eHiLo;0;1;0;0;0;0;1;1;10;;2;0;0;coefficient of the engine-on model used for battery temperature updating;None;0.000030517578;0;$275CBE;-;;-;1;0;16;1;0;0;-1;eDataSrcNone;0;$0;eByte;0x-1;0;-;;-;1;0;16;1;0;0;-1;eDataSrcNone;0;$0;eByte;0x-1;0
BTM_EngOn_Coef_Kbf;00017e9e;Battery Temperature Model API\;eEinzel;eViewText;eBars;eHiLo;0;1;0;0;0;0;1;1;10;;2;0;0;coefficient of the engine-on model used for battery temperature updating;None;0.000030517578;0;$275CC0;-;;-;1;0;16;1;0;0;-1;eDataSrcNone;0;$0;eByte;0x-1;0;-;;-;1;0;16;1;0;0;-1;eDataSrcNone;0;$0;eByte;0x-1;0
BTM_EngOn_Coef_Scl;00017e9f;Battery Temperature Model API\;eEinzel;eViewText;eBars;eHiLo;0;1;0;0;0;0;1;1;10;;2;0;0;fractional scaling factor used in battery temperature updating;None;0.000030517578;0;$275CC2;-;;-;1;0;16;1;0;0;-1;eDataSrcNone;0;$0;eByte;0x-1;0;-;;-;1;0;16;1;0;0;-1;eDataSrcNone;0;$0;eByte;0x-1;0
BTM_EngOn_Coef_SclShift;00017ea0;Battery Temperature Model API\;eEinzel;eViewText;eBars;eHiLo;0;1;0;0;0;0;1;1;10;;0;0;0;number of scaling shift bits used in battery temperature updating;counts;1;0;$275CC4;-;;-;1;0;16;1;0;0;-1;eDataSrcNone;0;$0;eByte;0x-1;0;-;;-;1;0;16;1;0;0;-1;eDataSrcNone;0;$0;eByte;0x-1;0
Block_Data_Structure;00000001;Software and System General Parameters\;eZweidim;eViewText;eBars;eByte;0;0;0;0;0;0;1;72;10;;0;0;0;The Block Data Structure is set up as defined in GTIS.  The Block Data Structure is used to determine the number of memory blocks that make up the claibration as well as the size of each block.  The BDS is used by the tool to ensure an entire calibration is built.  BDS is also used by  tools to perform the download function.  Some restrictions do apply to this structure.  See applicable GTIS version for restrictions. This item is created in its own C file, block_data.c<br><br><br><br>The data in the BDS is modified as part of the build process. To verify the correctness of this data it is necessary to view it in the .srec or .cal files after building.;;1;0;$5D48C;-;;-;1;0;16;1;0;0;-1;eDataSrcNone;0;$0;eByte;0x-1;0;;;;1;0;10;0;0;0;0;eDataSrcNone;0;$-1;eDataOrgNone;0x-1;0
Byte_Order;0000002a;Software and System General Parameters\;eZweidim;eViewText;eBars;eByte;0;0;0;0;0;0;1;12;10;;0;0;0;Identifies Big Endian or Little Endian data storage format used for data reads by address (12 byte array);;1;0;$270DA6;-;;-;1;0;16;1;0;0;-1;eDataSrcNone;0;$0;eByte;0x-1;0;;;;1;0;10;0;0;0;0;eDataSrcNone;0;$-1;eDataOrgNone;0x-1;0
CAGT_Block_Fault_Codes;00006cd4;To be used only when no acronym is known for the item.\;eZweidim;eViewText;eBars;eHiLo;0;0;0;0;0;0;1;30;10;;0;0;0;"Array of fault codes to be blocked. Fault codes can be found in CES14602 specification.<br>Size of this array and hence the maximum number of faults that can be blocked, can be changed by setting the value of CAGT_Faults_To_Block via ""Configurable data"" tab in a given build configuration.  <br>Build script limits the value of CAGT_Faults_To_Block to 30.<br>In this array, if a fault code is listed after a zero entry, that fault code will not be blocked.<br>E.g Lets say CAGT_Faults_To_Block has been over-ridden to 5 via ""Configurable data"" tab in a given build configuration. <br>Now if, CAGT_Block_Fault_Codes[1] =valid FC1, CAGT_Block_Fault_Codes[2]=valid FC2, CAGT_Block_Fault_Codes[3]=0, CAGT_Block_Fault_Codes[4]=valid FC3,<br>CAGT_Block_Fault_Codes[5]=valid FC4;<br>In above case, only FC1 and FC2 will be considered for fault blocking.";None;1;0;$560E;-;;-;1;0;16;1;0;0;-1;eDataSrcNone;0;$0;eByte;0x-1;0;;;;1;0;10;0;0;0;0;eDataSrcNone;0;$-1;eDataOrgNone;0x-1;0
CAGT_Edc_Interrupt_Schedule;00006c22;Engineering Data Collector\;eEinzel;eViewText;eBars;eByte;0;0;0;0;0;0;1;1;10;;0;0;0;Interrupt method with which Data Collector2 was configured for collecting data. Valid values are _CLOCK_INTERRUPT, _ENGINE_SPEED_INTERRUPT, _ROAD_SPEED_INTERRUPT, _TURBO_SPEED_INTERRUPT and _FRAME_INTERRUPT.;None;1;0;$564A;-;;-;1;0;16;1;0;0;-1;eDataSrcNone;0;$0;eByte;0x-1;0;-;;-;1;0;16;1;0;0;-1;eDataSrcNone;0;$0;eByte;0x-1;0
CAGT_Edc_Item_List_Array;000070c7;Engineering Data Collector\;eZweidim;eViewText;eBars;eByte;0;0;0;0;0;0;1;960;10;;0;0;0;Each entry in this list contains the following:<br>1. item_id_or_addr: Public data ID or address of the variable to be recorded via Data Collector2. <br>2. item_access_method: Indicates the type of the second member. If TRUE, the second member is a public data ID, otherwise it is an address.<br>3. item_size: If second field is an address then this field indicates the size of the data to be recorded via Data Collector2. Otherwise it is invalid.;;1;0;$564C;-;;-;1;0;16;1;0;0;-1;eDataSrcNone;0;$0;eByte;0x-1;0;;;;1;0;10;0;0;0;0;eDataSrcNone;0;$-1;eDataOrgNone;0x-1;0
CAGT_Edc_Item_List_Array_Length;000070ca;Engineering Data Collector\;eEinzel;eViewText;eBars;eHiLo;0;0;0;0;0;0;1;1;10;;0;0;0;This is the number of valid entries in the CAGT_Edc_Item_List_Array[]. This number indicates the number of data variables configured to be recorded via Data Collector2.;None;1;0;$5A0C;-;;-;1;0;16;1;0;0;-1;eDataSrcNone;0;$0;eByte;0x-1;0;-;;-;1;0;16;1;0;0;-1;eDataSrcNone;0;$0;eByte;0x-1;0
CAGT_Edc_KeyOn_Configured;00006a56;Engineering Data Collector\;eEinzel;eViewText;eBars;eByte;0;0;0;0;0;0;1;1;10;;0;0;0;If Data Collector2 was configured successfully with keyon mode, then this parameter is set to 1 else it is set to 0.;None;1;0;$5A0E;-;;-;1;0;16;1;0;0;-1;eDataSrcNone;0;$0;eByte;0x-1;0;-;;-;1;0;16;1;0;0;-1;eDataSrcNone;0;$0;eByte;0x-1;0
CAGT_Edc_Mode;0000720e;Engineering Data Collector\;eEinzel;eViewText;eBars;eByte;0;0;0;0;0;0;1;1;10;;0;0;0;The collector mode configured  for collecting data via Data Collector2. Valid values are _BAM_TRANSMIT_TRIGGER, _PRE_TRIGGER, _MID_TRIGGER,_POST_TRIGGER and _KEYON_TRIGGER.;None;1;0;$5A0F;-;;-;1;0;16;1;0;0;-1;eDataSrcNone;0;$0;eByte;0x-1;0;-;;-;1;0;16;1;0;0;-1;eDataSrcNone;0;$0;eByte;0x-1;0
CAGT_Edc_Multiple;0000705c;Engineering Data Collector\;eEinzel;eViewText;eBars;eByte;0;0;0;0;0;0;1;1;10;;0;0;0;The number of occurrences of the collector interrupt to skip each time before recording the set of data via Data Collector2.;None;1;0;$5A10;-;;-;1;0;16;1;0;0;-1;eDataSrcNone;0;$0;eByte;0x-1;0;-;;-;1;0;16;1;0;0;-1;eDataSrcNone;0;$0;eByte;0x-1;0
CAN1_Ack_Error_Count;00011b31;Operating System\;eEinzel;eViewText;eBars;eHiLo;0;0;0;0;0;0;1;1;10;;0;0;0;This is the number of times that the Ack Error has occurred on CAN1.;None;1;0;$B764;-;;-;1;0;16;1;0;0;-1;eDataSrcNone;0;$0;eByte;0x-1;0;-;;-;1;0;16;1;0;0;-1;eDataSrcNone;0;$0;eByte;0x-1;0
CAN1_Ack_Error_History;00011db5;Operating System\;eZweidim;eViewText;eBars;eHiLoHiLo;0;0;0;0;0;0;1;4;10;;2;0;0;This array contains the time stamp of the last 4 occurences of the Ack Error on CAN1.;s;0.2;0;$B76A;-;;-;1;0;16;1;0;0;-1;eDataSrcNone;0;$0;eByte;0x-1;0;;;;1;0;10;0;0;0;0;eDataSrcNone;0;$-1;eDataOrgNone;0x-1;0
